bald,dateCollected,transectNum,rosemaryNum,nearFar,depth,massBag,massActual,seedAbundance,abundanceMass,abundanceVolume,dateCounted,vegCover,presentAbsent,comments
59,23-Sep,410,50,N,NA,818.63,811.63,5,0.006160443,0.031830995,4-Nov,11,1,
59,23-Sep,410,50,F,NA,742.07,728.07,7,0.018023585,0.044563393,4-Nov,11,1,
54,5-Nov,420,58,F,NA,699.19,692.19,0,0,0,13-Dec,9,1,
54,5-Nov,420,58,N,NA,703.41,696.41,0,0,0,13-Dec,9,1,
59,23-Sep,407,46,N,NA,598.18,591.18,0,0,0,3-Nov,7,1,
59,23-Sep,407,46,F,NA,817.03,803.03,3,0.00373585,0.019098597,3-Nov,7,1,
59,23-Sep,402,41,F,NA,726.86,712.86,0,0,0,31-Oct,4,1,
59,23-Sep,402,41,N,NA,844.12,837.12,0,0,0,31-Oct,4,1,
54,5-Nov,417,55,N,NA,743.08,736.08,0,0,0,13-Dec,4,1,
54,5-Nov,417,55,F,NA,731.51,724.51,0,0,0,21-Dec,4,1,
62,26-Oct,413,51,F,NA,757.88,750.88,0,0,0,4-Nov,3,1,veg cover 2 or 3?
62,26-Oct,429,66,F,NA,766.34,759.34,1,0.001316933,0.006366199,12-Nov,3,1,1 flowering 2 not
62,26-Oct,429,66,N,NA,802.78,795.78,0,0,0,12-Nov,3,1,
59,23-Sep,411,49,N,NA,707.15,700.15,1,0.001428265,0.006366199,3-Nov,2,1,Seed is in questionable condition but I think it still counts??
59,23-Sep,411,49,F,NA,689.75,675.75,0,0,0,25-Oct,2,1,
54,5-Nov,418,56,N,NA,622.74,615.74,0,0,0,13-Dec,2,1,
54,5-Nov,418,56,F,NA,785.84,778.84,0,0,0,22-Dec,2,1,
54,5-Nov,419,57,N,NA,847.46,840.46,0,0,0,13-Dec,2,1,
54,5-Nov,419,57,F,NA,780.86,773.86,0,0,0,13-Dec,2,1,
62,26-Oct,413,51,N,NA,745.27,738.27,3,0.004063554,0.019098597,11-Nov,2,1,1 flowering 1 not
62,26-Oct,414,52,F,NA,637.67,630.67,0,0,0,11-Nov,2,1,Pink
62,26-Oct,414,52,N,NA,716.51,709.51,0,0,0,12-Nov,2,1,
59,23-Sep,403,42,N,NA,665.28,658.28,0,0,0,1-Nov,1,1,
59,23-Sep,403,42,F,,873.79,859.79,12,0.013956896,0.076394389,3-Nov,1,1,
59,23-Sep,409,48,N,NA,694.72,687.72,0,0,0,31-Oct,1,1,likely 409 not 404
59,23-Sep,409,48,F,NA,805.57,791.57,0,0,0,25-Oct,1,1,
54,5-Nov,415,53,N,NA,611.74,604.74,0,0,0,21-Dec,1,1,
54,5-Nov,415,53,F,NA,686.87,679.87,0,0,0,21-Dec,1,1,
62,26-Oct,430,67,N,NA,837.85,830.85,6,0.00722152,0.038197194,11-Nov,1,1,
62,26-Oct,430,67,F,NA,663.42,656.42,0,0,0,12-Nov,1,1,
59,23-Sep,404,43,N,NA,614.72,607.72,0,0,0,31-Oct,0,0,
59,23-Sep,404,43,F,NA,801.22,787.22,0,0,0,31-Oct,0,0,SOMETHING WEIRD DIDNT DO YET (think its okay)
59,23-Sep,405,44,N,NA,792.44,785.44,0,0,0,2-Nov,0,0,
59,23-Sep,405,44,F,NA,828.36,814.36,0,0,0,3-Nov,0,0,
59,23-Sep,406,45,N,NA,655.92,648.92,0,0,0,1-Nov,0,0,
59,23-Sep,406,45,F,NA,740.82,726.82,0,0,0,4-Nov,0,0,
59,23-Sep,408,47,N,NA,703.66,696.66,0,0,0,25-Oct,0,0,
59,23-Sep,408,47,F,NA,737.4,723.4,0,0,0,2-Nov,0,0,
59,23-Sep,412,50,N,NA,640.15,633.15,0,0,0,25-Oct,0,0,
59,23-Sep,412,50,F,NA,685.99,671.99,0,0,0,25-Oct,0,0,
54,5-Nov,401,40,N,NA,702.69,695.69,0,0,0,21-Dec,0,0,
54,5-Nov,401,40,F,NA,771.37,764.37,0,0,0,22-Dec,0,0,
54,5-Nov,416,54,F,NA,799.38,792.38,0,0,0,13-Dec,0,0,
54,5-Nov,416,54,N,NA,740.76,733.76,0,0,0,22-Dec,0,0,
54,5-Nov,421,59,N,NA,751.1,744.1,0,0,0,13-Dec,0,0,
54,5-Nov,421,59,F,NA,825.19,818.19,0,0,0,22-Dec,0,0,
54,5-Nov,422,60,N,NA,654.68,647.68,0,0,0,13-Dec,0,0,
54,5-Nov,422,60,F,NA,706.27,699.27,0,0,0,13-Dec,0,0,
54,5-Nov,423,61,N,NA,793.35,786.35,0,0,0,13-Dec,0,0,
54,5-Nov,423,61,F,NA,764.26,757.26,0,0,0,13-Dec,0,0,
62,26-Oct,428,65,N,NA,685.11,678.11,0,0,0,11-Nov,0,0,
62,26-Oct,428,65,F,NA,797.46,790.46,0,0,0,12-Nov,0,0,
62,26-Oct,431,68,N,NA,732.85,725.85,1,0.001377695,0.006366199,11-Nov,0,0,
62,26-Oct,431,68,F,NA,752.42,745.42,0,0,0,12-Nov,0,0,
62,26-Oct,432,69,N,NA,772.08,765.08,0,0,0,12-Nov,0,0,
62,26-Oct,432,69,F,NA,735.33,728.33,0,0,0,12-Nov,0,0,
62,26-Oct,433,70,N,NA,658.47,651.47,0,0,0,11-Nov,0,0,
62,26-Oct,433,70,F,NA,856.37,849.37,0,0,0,11-Nov,0,0,Blue
45,5-Oct,424,62,N,NA,821.39,814.39,0,0,0,20-Dec,0,0,
45,5-Oct,424,62,F,NA,890.56,883.56,0,0,0,20-Dec,0,0,
45,5-Oct,425,62,N,NA,580.53,573.53,0,0,0,20-Dec,0,0,
45,5-Oct,425,62,F,NA,794.74,787.74,0,0,0,20-Dec,0,0,
45,5-Oct,426,63,N,NA,701.45,694.45,0,0,0,20-Dec,0,0,
45,5-Oct,426,63,F,NA,875.74,868.74,0,0,0,20-Dec,0,0,
45,5-Oct,427,64,F,NA,800.17,793.17,0,0,0,20-Dec,0,0,
45,5-Oct,427,64,N,NA,631.39,624.39,0,0,0,20-Dec,0,0,
45,26-Oct,434,71,F,NA,818.86,811.86,0,0,0,20-Dec,0,0,
45,26-Oct,434,71,N,NA,851.47,844.47,0,0,0,20-Dec,0,0,
45,26-Oct,435,71,N,NA,851.5,844.5,0,0,0,20-Dec,0,0,
45,26-Oct,435,71,F,NA,764.32,757.32,0,0,0,20-Dec,0,0,
45,26-Oct,436,72,N,NA,744.93,737.93,0,0,0,20-Dec,0,0,
45,26-Oct,436,72,F,NA,875.76,868.76,0,0,0,20-Dec,0,0,
45,26-Oct,437,73,F,NA,778.75,771.75,0,0,0,20-Dec,0,0,
45,26-Oct,437,73,N,NA,729.97,722.97,0,0,0,20-Dec,0,0,
45,26-Oct,438,74,N,NA,773.09,766.09,0,0,0,20-Dec,0,0,
45,26-Oct,438,74,F,NA,851.6,844.6,0,0,0,20-Dec,0,0,
